Paper Title;Year;Author;Publication;Url of paper
Fabric defect detection and classification using image analysis;1995.0;YF Zhang, RR Bresee;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/004051759506500101
Approaches for improvement of the X-ray image defect detection of automobile casting aluminum parts based on deep learning;2019.0;W Du, H Shen, J Fu, G Zhang, Q He;Elsevier;https://www.sciencedirect.com/science/article/pii/S0963869519300192
The application of one-class classifier based on CNN in image defect detection;2017.0;M Zhang, J Wu, H Lin, P Yuan, Y Song;Elsevier;https://www.sciencedirect.com/science/article/pii/S1877050917318343
Review of pavement defect detection methods;2020.0;W Cao, Q Liu, Z He;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8960347/
Image segmentation algorithms applied to wood defect detection;2003.0;JW Funck, Y Zhong, DA Butler, CC Brunner…;Elsevier;https://www.sciencedirect.com/science/article/pii/S0168169903000498
Image-based surface defect detection using deep learning: A review;2021.0;PM Bhatt, RK Malhan…;asmedigitalcollection.asme.org;https://asmedigitalcollection.asme.org/computingengineering/article-abstract/21/4/040801/1094064
Image processing algorithm for apple defect detection;1989.0;GE Rehkugler, JA Throopmann;elibrary.asabe.org;https://elibrary.asabe.org/abstract.asp?aid=30994
Research on X-ray welding image defect detection based on convolution neural network;2019.0;L Yaping, G Weixin;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1237/3/032005/meta
Automatic defect detection and classification technique from image: a special case using ceramic tiles;2009.0;GM Rahaman, M Hossain;arxiv.org;https://arxiv.org/abs/0906.3770
Correlation based image defect detection;2006.0;T Amano;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/1698858/
State of the art in defect detection based on machine vision;2021.0;Z Ren, F Fang, N Yan, Y Wu;Springer;https://link.springer.com/article/10.1007/s40684-021-00343-6
Industrial Laser Welding Defect Detection and Image Defect Recognition Based on Deep Learning Model Developed;2021.0;H Deng, Y Cheng, Y Feng, J Xiang;mdpi.com;https://www.mdpi.com/2073-8994/13/9/1731
Defect detection in textured materials using Gabor filters;2002.0;A Kumar, GKH Pang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/993164/
A survey and evaluation of promising approaches for automatic image-based defect detection of bridge structures;2009.0;MR Jahanshahi, JS Kelly, SF Masri…;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/15732470801945930
Railway track fastener defect detection based on image processing and deep learning techniques: A comparative study;2019.0;X Wei, Z Yang, Y Liu, D Wei, L Jia, Y Li;Elsevier;https://www.sciencedirect.com/science/article/pii/S0952197619300089
Automatic thresholding for defect detection;2006.0;HF Ng;Elsevier;https://www.sciencedirect.com/science/article/pii/S016786550600119X
A learning-based approach for surface defect detection using small image datasets;2020.0;X Le, J Mei, H Zhang, B Zhou, J Xi;Elsevier;https://www.sciencedirect.com/science/article/pii/S0925231220303386
Image defect detection methods for visual inspection systems;2007.0;L Tomczak, V Mosorov, D Sankowski…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/4297617/
Machine vision based defect detection approach using image processing;2017.0;M Baygin, M Karakose, A Sarimaden…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8090292/
Surface defect detection using image pyramid;2020.0;L Xiao, B Wu, Y Hu;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9019620/
An image segmentation approach for fruit defect detection using k-means clustering and graph-based algorithm;2015.0;VH Pham, BR Lee;Springer;https://link.springer.com/article/10.1007/s40595-014-0028-3
Image and video processing for defect detection in key infrastructure;2020.0;HS Munawar;Wiley Online Library;https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119682042.ch7
Printed circuit board defect detection using mathematical morphology and MATLAB image processing tools;2010.0;SHI Putera, Z Ibrahim;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5530052/
Detection of steel defect using the image processing algorithms;2008.0;M Sharifzadeh, R Amirfattahi, S Sadri…;iceeng.journals.ekb.eg;https://iceeng.journals.ekb.eg/article_34372_12cf2164fc9a292f7b57f2c7c5fa58c3.pdf
Surface defect detection in tiling Industries using digital image processing methods: Analysis and evaluation;2014.0;MH Karimi, D Asemani;Elsevier;https://www.sciencedirect.com/science/article/pii/S001905781300205X
Weld defect detection in industrial radiography based digital image processing;2005.0;N Nacereddine, M Zelmat, SS Belaifa…;Citeseer;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.329.2002&rep=rep1&type=pdf
Defect detection of solar cells in electroluminescence images using Fourier image reconstruction;2012.0;DM Tsai, SC Wu, WC Li;Elsevier;https://www.sciencedirect.com/science/article/pii/S092702481100688X
A robust asymmetric kernel function for Bayesian optimization, with application to image defect detection in manufacturing systems;2021.0;A AlBahar, I Kim, X Yue;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9555390/
A neurofuzzy color image segmentation method for wood surface defect detection;2005.0;GA Ruz, PA Estevez, CA Perez;academia.edu;https://www.academia.edu/download/31164076/fpj.pdf
Multialgorithm fusion image processing for high speed railway dropper failure–defect detection;2019.0;P Tan, X Li, Z Wu, J Ding, J Ma, Y Chen…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8842615/
Automated visual defect detection for flat steel surface: A survey;2020.0;Q Luo, X Fang, L Liu, C Yang…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8948233/
Image processing techniques for automated road defect detection: A survey;2014.0;H Bello-Salau, AM Aibinu, EN Onwuka…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6997556/
Fully convolutional cross-scale-flows for image-based defect detection;2022.0;M Rudolph, T Wehrbein…;openaccess.thecvf.com;https://openaccess.thecvf.com/content/WACV2022/html/Rudolph_Fully_Convolutional_Cross-Scale-Flows_for_Image-Based_Defect_Detection_WACV_2022_paper.html
Rail defect detection and classification with real time image processing technique;2016.0;C Tastimur, H Yetis, M Karaköse…;search.proquest.com;https://search.proquest.com/openview/d678b09e570d574bcede0f6f78075cc5/1?pq-origsite=gscholar&cbl=2044552
Deep learning image-based defect detection in high voltage electrical equipment;2020.0;I Ullah, RU Khan, F Yang, L Wuttisittikulkij;mdpi.com;https://www.mdpi.com/616568
Computer vision based system for apple surface defect detection;2002.0;Q Li, M Wang, W Gu;Elsevier;https://www.sciencedirect.com/science/article/pii/S0168169902000935
Automatic image thresholding using Otsu's method and entropy weighting scheme for surface defect detection;2018.0;MTN Truong, S Kim;Springer;https://link.springer.com/article/10.1007/s00500-017-2709-1
Image-based defect detection in lithium-ion battery electrode using convolutional neural networks;2020.0;O Badmos, A Kopp, T Bernthaler…;Springer;https://link.springer.com/article/10.1007/s10845-019-01484-x
Automatic weld defect detection based on potential defect tracking in real-time radiographic image sequence;2012.0;J Shao, D Du, B Chang, H Shi;Elsevier;https://www.sciencedirect.com/science/article/pii/S096386951100154X
Defect detection in electronic surfaces using template-based Fourier image reconstruction;2018.0;DM Tsai, CK Huang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8482278/
Rail defect detection with real time image processing technique;2016.0;C Taştimur, M Karaköse, E Akın…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/7819194/
Defect detection on rail surfaces by a vision based system;2004.0;E Deutschl, C Gasser, A Niel…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/1336435/
A universal defect detection approach for various types of fabrics based on the Elo-rating algorithm of the integral image;2019.0;X Kang, E Zhang;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/0040517519840636
Fast normalized cross correlation for defect detection;2003.0;DM Tsai, CT Lin;Elsevier;https://www.sciencedirect.com/science/article/pii/S0167865503001065
Fabric defect detection using modified local binary patterns;2007.0;F Tajeripour, E Kabir, A Sheikhi;Springer;https://link.springer.com/content/pdf/10.1155/2008/783898.pdf
Defect detection of pantograph slide based on deep learning and image processing technology;2019.0;X Wei, S Jiang, Y Li, C Li, L Jia…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8667891/
Large-complex-surface defect detection by hybrid gradient threshold segmentation and image registration;2018.0;G Cao, S Ruan, Y Peng, S Huang, N Kwok;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8369059/
Image processing for automatic surface defect detection;1989.0;MA Coulthard;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/132118/
Semi-supervised rail defect detection from imbalanced image data;2016.0;S Hajizadeh, A Núnez, DMJ Tax;Elsevier;https://www.sciencedirect.com/science/article/pii/S2405896316302099
Real-time rail head surface defect detection: A geometrical approach;2009.0;L Jie, L Siwei, L Qingyong, Z Hanqing…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5214088/
An adaptive level-selecting wavelet transform for texture defect detection;2007.0;Y Han, P Shi;Elsevier;https://www.sciencedirect.com/science/article/pii/S0262885606002952
Research on image defect detection of silicon panel based on prewitt and canny operator;2021.0;Y Zhang, Z Wang, Y Wang, C Zhang, B Zhao;frontiersin.org;https://www.frontiersin.org/articles/10.3389/fphy.2021.701462/full
Weld defect detection based on deep learning method;2019.0;H Zhang, Z Chen, C Zhang, J Xi…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8842998/
Thermal Defect Detection for Substation Equipment Based on Infrared Image Using Convolutional Neural Network;2021.0;K Wang, J Zhang, H Ni, F Ren;mdpi.com;https://www.mdpi.com/1232860
Fabric defect detection method combing image pyramid and direction template;2019.0;H Xie, Y Zhang, Z Wu;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8933035/
Integration of colour and textural information in multivariate image analysis: defect detection and classification issues;2007.0;JM Prats‐Montalbán, A Ferrer;Wiley Online Library;https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/cem.1026
Deep Learning-Based Thermal Image Analysis for Pavement Defect Detection and Classification Considering Complex Pavement Conditions;2021.0;C Chen, S Chandra, Y Han, H Seo;mdpi.com;https://www.mdpi.com/2072-4292/14/1/106
A public fabric database for defect detection methods and results;2019.0;J Silvestre-Blanes, T Albero Albero, I Miralles…;sciendo.com;https://sciendo.com/downloadpdf/journals/aut/19/4/article-p363.pdf
PCB defect detection, classification and localization using mathematical morphology and image processing tools;2014.0;PS Malge, RS Nadaf;Citeseer;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.429.1654&rep=rep1&type=pdf
Fabric defect detection using wavelet filter;2015.0;VV Karlekar, MS Biradar…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/7155940/
End Image Defect Detection of Float Glass Based on Faster Region-Based Convolutional Neural Network.;2020.0;D Jin, S Xu, L Tong, L Wu, S Liu;search.ebscohost.com;https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=07650019&AN=147571612&h=68B7PROJue13b3a65FSNozqv1HBb7KtDsHMRo%2FRGhnL9YT3a84ZhOt2AID1FhtQH2zbtXRAox%2BIvGXzYPU3exQ%3D%3D&crl=c
Wood defect detection based on depth extreme learning machine;2020.0;Y Yang, X Zhou, Y Liu, Z Hu, F Ding;mdpi.com;https://www.mdpi.com/868652
Defect detection in thermal image for nondestructive evaluation of petrochemical equipments;2009.0;R Heriansyah, SAR Abu-Bakar;Elsevier;https://www.sciencedirect.com/science/article/pii/S0963869509001030
Welding defect detection based on local image enhancement;2019.0;Z Lin, Z Yingjie, D Bochao, C Bo…;Wiley Online Library;https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-ipr.2018.5840
Infrared image segmentation algorithm for defect detection based on FODPSO;2019.0;Q Tang, S Gao, Y Liu, F Yu;Elsevier;https://www.sciencedirect.com/science/article/pii/S1350449518308673
Fabric defect detection based on golden image subtraction;2017.0;JF Jing, S Chen, PF Li;Wiley Online Library;https://onlinelibrary.wiley.com/doi/abs/10.1111/cote.12239
Real time fabric defect detection system on an embedded DSP platform;2013.0;JL Raheja, B Ajay, A Chaudhary;Elsevier;https://www.sciencedirect.com/science/article/pii/S003040261300329X
PCB defect detection USING OPENCV with image subtraction method;2017.0;W Ce;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8273538/
Defect detection for tire laser shearography image using curvelet transform based edge detector;2013.0;Y Zhang, T Li, Q Li;Elsevier;https://www.sciencedirect.com/science/article/pii/S0030399212003751
A novel approach to fabric defect detection using digital image processing;2011.0;S Priya, TA Kumar, V Paul;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6024549/
A survey on defect detection in bare PCB and assembled PCB using image processing techniques;2017.0;DB Anitha, M Rao;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8299715/
Fabric defect detection by Fourier analysis;2000.0;C Chan, GKH Pang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/871274/
PCB defect detection using image processing and embedded system;2016.0;N Dave, V Tambade, B Pandhare…;academia.edu;https://www.academia.edu/download/54582191/IRJET-V3I5390.pdf
Multiscale image quality measures for defect detection in thin films;2015.0;AS Tolba, HM Raafat;Springer;https://link.springer.com/article/10.1007/s00170-014-6758-7
Image analysis for apple defect detection;2008.0;C Puchalski, J Gorzelany, G Zagula…;Citeseer;https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.501.781&rep=rep1&type=pdf
Image enhanced mask R-CNN: A deep learning pipeline with new evaluation measures for wind turbine blade defect detection and classification;2021.0;J Zhang, G Cosma, J Watkins;mdpi.com;https://www.mdpi.com/1021070
Scale insensitive and focus driven mobile screen defect detection in industry;2018.0;J Lei, X Gao, Z Feng, H Qiu, M Song;Elsevier;https://www.sciencedirect.com/science/article/pii/S0925231218302996
A light-weighted CNN model for wafer structural defect detection;2020.0;X Chen, J Chen, X Han, C Zhao, D Zhang, K Zhu…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8976072/
Automatic defect detection in X-ray images using image data fusion;2006.0;Y Tian, D Du, G Cai, L Wang…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6075958/
Automated fabric defect detection—a review;2011.0;HYT Ngan, GKH Pang, NHC Yung;Elsevier;https://www.sciencedirect.com/science/article/pii/S0262885611000230
Statistical process control based on Multivariate Image Analysis: A new proposal for monitoring and defect detection;2014.0;JM Prats-Montalbán, A Ferrer;Elsevier;https://www.sciencedirect.com/science/article/pii/S0098135414002804
Auto-annotated deep segmentation for surface defect detection;2021.0;DM Tsai, SKS Fan, YH Chou;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9449912/
Image data assessment approach for deep learning-based metal surface defect-detection systems;2021.0;HI Lin, FS Wibowo;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9383285/
Mixed supervision for surface-defect detection: From weakly to fully supervised learning;2021.0;J Božič, D Tabernik, D Skočaj;Elsevier;https://www.sciencedirect.com/science/article/pii/S016636152100066X
Multi-scale multi-intensity defect detection in ray image of weld bead;2020.0;ZH Yan, H Xu, PF Huang;Elsevier;https://www.sciencedirect.com/science/article/pii/S0963869520300530
A surface defect detection method based on positive samples;2018.0;Z Zhao, B Li, R Dong, P Zhao;Springer;https://link.springer.com/chapter/10.1007/978-3-319-97310-4_54
Wavelet based methods on patterned fabric defect detection;2005.0;HYT Ngan, GKH Pang, SP Yung, MK Ng;Elsevier;https://www.sciencedirect.com/science/article/pii/S0031320304003693
Review on automated optical (visual) inspection and its applications in defect detection;2018.0;L Rongsheng, W Ang, Z Tengda, W Yonghong;clp.ac.cn;http://www.clp.ac.cn/EN/Article/OJ5953dfeae45286f4?type=html
Circuit board defect detection based on image processing;2015.0;S Ren, L Lu, L Zhao, H Duan;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/7408005/
A fast regularity measure for surface defect detection;2012.0;DM Tsai, MC Chen, WC Li, WY Chiu;Springer;https://link.springer.com/article/10.1007/s00138-011-0403-3
Fabric defect detection using adaptive dictionaries;2013.0;J Zhou, J Wang;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/0040517513478451
Defect detection of steel surfaces with global adaptive percentile thresholding of gradient image;2017.0;N Neogi, DK Mohanta, PK Dutta;Springer;https://link.springer.com/article/10.1007/s40031-017-0296-2
Fabric defect detection using local homogeneity and morphological image processing;2016.0;A Rebhi, S Abid, F Fnaiech;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/7880062/
Online defect detection in layered manufacturing using process signature;1998.0;T Fang, MA Jafari, I Bakhadyrov, A Safari…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/727536/
An improved Otsu method using the weighted object variance for defect detection;2015.0;X Yuan, L Wu, Q Peng;Elsevier;https://www.sciencedirect.com/science/article/pii/S0169433215011319
Fabric defect detection based on a deep convolutional neural network using a two-stage strategy;2021.0;X Jun, J Wang, J Zhou, S Meng…;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/0040517520935984
Deep learning implementation using convolutional neural network in mangosteen surface defect detection;2017.0;LM Azizah, SF Umayah, S Riyadi…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8284412/
The evaluation of normalized cross correlations for defect detection;2003.0;DM Tsai, CT Lin, JF Chen;Elsevier;https://www.sciencedirect.com/science/article/pii/S0167865503000989
Fast Bi-dimensional empirical mode decomposition as an image enhancement technique for fruit defect detection;2018.0;Y Lu, R Lu;Elsevier;https://www.sciencedirect.com/science/article/pii/S0168169918306793
Defect detection and quantification system to support subjective visual quality inspection via a digital image processing: A tiling work case study;2012.0;C Laofor, V Peansupap;Elsevier;https://www.sciencedirect.com/science/article/pii/S0926580512000271
A dictionary-based method for tire defect detection;2014.0;Y Xiang, C Zhang, Q Guo;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6932710/
Fabric defect detection using adaptive wavelet;2001.0;YX Zhi, GKH Pang, NHC Yung;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/940645/
Plain ceramic tiles surface defect detection using image processing;2011.0;AN Shire, MM Khanapurkar…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6120585/
Deep learning-based solar-cell manufacturing defect detection with complementary attention network;2020.0;B Su, H Chen, P Chen, G Bian, K Liu…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9136904/
Automated visual inspection of fabric image using deep learning approach for defect detection;2021.0;V Voronin, R Sizyakin, M Zhdanova…;spiedigitallibrary.org;https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11787/117870P/Automated-visual-inspection-of-fabric-image-using-deep-learning-approach/10.1117/12.2592872.short
Fabric defect detection method based on Gabor filter mask;2009.0;R Han, L Zhang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5209168/
Automated product boundary defect detection based on image moment feature anomaly;2019.0;Y Peng, S Ruan, G Cao, S Huang, N Kwok…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8691762/
Defect detection in solar modules using ICA basis images;2012.0;DM Tsai, SC Wu, WY Chiu;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6246701/
Defect detection and characterization of RTV silicone rubber coating on insulator based on visible spectrum image;2020.0;L Xin, H Jin, Y Tu, Z Yuan, Z Lv…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9094301/
MATLAB based defect detection and classification of printed circuit board;2012.0;SHI Putera, SF Dzafaruddin…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6215366/
Defect detection on 3d print products and in concrete structures using image processing and convolution neural network;2020.0;S Garfo, MA Muktadir, S Yi;researchgate.net;https://www.researchgate.net/profile/Selorm-Garfo/publication/342456775_Defect_Detection_on_3D_Print_Products_and_in_Concrete_Structures_Using_Image_Processing_and_Convolution_Neural_Network/links/5f7a438e299bf1b53e0e2f25/Defect-Detection-on-3D-Print-Products-and-in-Concrete-Structures-Using-Image-Processing-and-Convolution-Neural-Network.pdf
Defect detection from X-ray images using a three-stage deep learning algorithm;2019.0;J Ren, R Ren, M Green, X Huang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8861944/
Defect detection on rolling element surface scans using neural image segmentation;2020.0;N Prappacher, M Bullmann, G Bohn, F Deinzer…;mdpi.com;https://www.mdpi.com/711378
A simple guidance template-based defect detection method for strip steel surfaces;2018.0;H Wang, J Zhang, Y Tian, H Chen…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8579162/
Automatic band selection for wavelet reconstruction in the application of defect detection;2003.0;DM Tsai, CH Chiang;Elsevier;https://www.sciencedirect.com/science/article/pii/S0262885603000039
Fast fmcw terahertz imaging for in-process defect detection in press sleeves for the paper industry and image evaluation with a machine learning approach;2021.0;M Bauer, R Hussung, C Matheis, H Reichert…;mdpi.com;https://www.mdpi.com/1295860
B-scan ultrasonic image analysis for internal rail defect detection;2003.0;SEM IEM-RM;researchgate.net;https://www.researchgate.net/profile/Patrice-Simard/publication/252650921_B-scan_ultrasonic_image_analysis_for_internal_rail_defect_detection/links/540dabee0cf2df04e7561210/B-scan-ultrasonic-image-analysis-for-internal-rail-defect-detection.pdf
Tire defect detection using image component decomposition;2012.0;Q Guo, ZW Wei;airitilibrary.com;https://www.airitilibrary.com/Publication/alDetailedMesh?docid=20407467-201201-201411100014-201411100014-41-44
Saliency-based defect detection in industrial images by using phase spectrum;2014.0;X Bai, Y Fang, W Lin, L Wang…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6906292/
Matlab based automated surface defect detection system for ceremic tiles using image processing;2017.0;YC Samarawickrama…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/7872824/
Automatic metallic surface defect detection and recognition with convolutional neural networks;2018.0;X Tao, D Zhang, W Ma, X Liu, D Xu;mdpi.com;https://www.mdpi.com/336514
Self-attention guided model for defect detection of aluminium alloy casting on X-ray image;2020.0;Y Wang, C Hu, K Chen, Z Yin;Elsevier;https://www.sciencedirect.com/science/article/pii/S0045790620306777
Fabric defect detection using morphological filters;2009.0;KL Mak, P Peng, KFC Yiu;Elsevier;https://www.sciencedirect.com/science/article/pii/S0262885609000390
Fabric defect detection using computer vision techniques: a comprehensive review;2020.0;A Rasheed, B Zafar, A Rasheed, N Ali…;hindawi.com;https://www.hindawi.com/journals/mpe/2020/8189403/
Fabric defect detection using the improved YOLOv3 model;2020.0;J Jing, D Zhuo, H Zhang, Y Liang…;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/1558925020908268
Real-time Defect Detection Method for Printed Images Based on Grayscale and Gradient Differences.;2018.0;W Yangping, X Shaowei, Z Zhengping, S Yue…;jestr.org;http://jestr.org/downloads/Volume11Issue1/fulltext221112018.pdf
Defect detection in X-ray images using fuzzy reasoning;2001.0;V Lashkia;Elsevier;https://www.sciencedirect.com/science/article/pii/S0262885600000755
Fabric defect detection systems and methods—A systematic literature review;2016.0;K Hanbay, MF Talu, ÖF Özgüven;Elsevier;https://www.sciencedirect.com/science/article/pii/S0030402616311366
Photo defect detection for image inpainting;2005.0;RC Chang, YL Sie, SM Chou…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/1565861/
Automatic defect detection for web offset printing based on machine vision;2019.0;E Zhang, Y Chen, M Gao, J Duan, C Jing;mdpi.com;https://www.mdpi.com/526396
Fabric defect detection using auto-correlation function;2013.0;E Hoseini, F Farhadi, F Tajeripour;academia.edu;https://www.academia.edu/download/7156446/118-icmv2010-w10031.pdf
Review of image segmentation techniques for layup defect detection in the Automated Fiber Placement process;2021.0;S Meister, MAM Wermes, J Stüve…;Springer;https://link.springer.com/article/10.1007/s10845-021-01774-3
The defect detection algorithm for tire x-ray images based on deep learning;2018.0;Q Zhu, X Ai;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8492908/
Defect detection of printed fabric based on RGBAAM and image pyramid;2021.0;J Jing, H Ren;sciendo.com;https://sciendo.com/it/article/10.2478/aut-2020-0007
Surface defect detection of aluminum alloy welds with 3D depth image and 2D gray image;2020.0;Z Yan, B Shi, L Sun, J Xiao;Springer;https://link.springer.com/article/10.1007/s00170-020-05882-x
Fabric defect detection based on texture enhancement;2012.0;H Zuo, Y Wang, X Yang, X Wang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6469799/
Morphology-based defect detection in machined surfaces with circular tool-mark patterns;2019.0;DM Tsai, DER Molina;Elsevier;https://www.sciencedirect.com/science/article/pii/S0263224118310170
Fabric defect detection by Fourier analysis;1999.0;CH Chan, G Pang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/805975/
Improved canny edge detector in ceramic tiles defect detection;2006.0;Z Hocenski, S Vasilic, V Hocenski;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/4153008/
Defect detection for patterned fabric images based on GHOG and low-rank decomposition;2019.0;C Li, G Gao, Z Liu, D Huang, J Xi;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8746161/
Defect detection of uneven brightness in low-contrast images using basis image representation;2010.0;YH Tsneg, DM Tsai;Elsevier;https://www.sciencedirect.com/science/article/pii/S0031320309003446
Surface defect detection in a tile using digital image processing: Analysis and evaluation;2015.0;F Sanghadiya, D Mistry;Citeseer;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.695.2231&rep=rep1&type=pdf
A glass bottle defect detection system without touching;2002.0;HM Ma, GD Su, JY Wang, Z Ni;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/1174411/
Study on pavement defect detection based on image processing utilizing UAV;2019.0;L Zhang, W Xu, L Zhu, X Yuan…;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1168/4/042011/meta
Automatic defect detection of metro tunnel surfaces using a vision-based inspection system;2021.0;D Li, Q Xie, X Gong, Z Yu, J Xu, Y Sun…;Elsevier;https://www.sciencedirect.com/science/article/pii/S1474034620301750
A convolutional neural network-based method for workpiece surface defect detection;2021.0;J Xing, M Jia;Elsevier;https://www.sciencedirect.com/science/article/pii/S0263224121002037
Defect detection on semiconductor wafer surfaces;2005.0;NG Shankar, ZW Zhong;Elsevier;https://www.sciencedirect.com/science/article/pii/S0167931704005374
Wavelet methods for texture defect detection;1997.0;G Lambert, F Bock;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/632054/
Semi-supervised fabric defect detection based on image reconstruction and density estimation;2021.0;Q Zhou, J Mei, Q Zhang, S Wang…;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/0040517520966733
Dual Stage Image Analysis for a complex pattern classification task: Ham veining defect detection;2020.0;JF Lopes, APAC Barbon, G Orlandi, R Calvini…;Elsevier;https://www.sciencedirect.com/science/article/pii/S1537511020300209
TEXEMS: Texture exemplars for defect detection on random textured surfaces;2007.0;X Xie, M Mirmehdi;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/4250469/
Unsupervised defect detection with patch-aware mutual reasoning network in image data;2022.0;Y Wang, K Song, M Niu, Y Bao, H Dong…;Elsevier;https://www.sciencedirect.com/science/article/pii/S0926580522003454
Automated Defect Detection Using Threshold Value Classification Based on Thermographic Inspection;2021.0;S Lee, Y Chung, R Shrestha, W Kim;mdpi.com;https://www.mdpi.com/1245094
Deep-learning-based small surface defect detection via an exaggerated local variation-based generative adversarial network;2019.0;J Lian, W Jia, M Zareapoor, Y Zheng…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8859390/
A defect detection method based on faster RCNN for power equipment;2021.0;Y Cheng, L Xia, B Yan, J Chen, D Hu…;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1742-6596/1754/1/012025/meta
Independent component analysis-based defect detection in patterned liquid crystal display surfaces;2008.0;CJ Lu, DM Tsai;Elsevier;https://www.sciencedirect.com/science/article/pii/S0262885607002004
